planet_id,target_id,kepler_object_Name,planet_name,planet_status,preliminary_status,confidence_score,flag_not_transit_like,flag_stellar_Eclipse,flag_centroid_offset,flag_Ephemeris_match,orbital_period_days,orbital_period_upper_err1,orbital_period_lower_err2,tansit_Epoch_time,transit_time_upper_err1,transit_time_lower_err2,impact_parameter,impact_upper_err1,impact_lower_err2,transit_duration_hours,transit_duration_upper_err1,transit_duration_lower_err2,transit_depth_ppm,transit_depth_upper_err1,transit_depth_lower_err2,planet_size_earths,planet_size_earths_err1,planet_size_earths_err2,planet_temperature_k_elvin,planet_temperature_k_elvin_err1,planet_temperature_k_elvin_err2,insolation_flux_earths,insolation_upper_err1,insolation_lower_err2,signal _to_noise_ratio,TEC_planet_number,tce_delivery_name,star_temperature_kelvi n,star_temperature_kelvi n_err1,star_temperature_kelvi n_err2,star_gravity_logg,star_gravity_upper_err1,star_gravity_lower_err2,star_size_suns,star_size_upper_err1,star_size_lower_err2,sky_right_ascension,sky_declination,kepler_magnitude_brightness
6095,5794687,K05203.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,6.23E-03,-6.23E-03,265.14033,9.13E-03,-9.13E-03,0.2729,0.2017,-0.2728,3.104,0.572,-0.572,9.26E+02,1.82E+02,-1.82E+02,1.96,2.60E-01,-1.50E-01,184,,,0.27,0.12,-0.06,5.8,1,q1_q16_tce,4869,145,-134,4.648,0.033,-0.071,0.657,0.088,-0.049,293.00101,41.02478,15.171
6106,6767337,K05326.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,0,koi_period,9.91E-03,-9.91E-03,158.7498,1.38E-02,-1.38E-02,0.1643,0.2896,-0.1642,10.535,0.552,-0.552,1.95E+02,1.74E+01,-1.74E+01,1.8,6.40E-01,-4.30E-01,275,,,1.35,1.41,-0.65,15,1,q1_q16_tce,6035,157,-161,4.177,0.242,-0.215,1.283,0.459,-0.309,288.57758,42.296021,12.588
6109,3001955,K04961.01,,CANDIDATE,CANDIDATE,,0,0,0,0,koi_period,3.02E-02,-3.02E-02,184.8658,5.43E-02,-5.43E-02,0.6924,0.2629,-0.4629,13.84,2.6,-2.6,5.85E+02,9.73E+01,-9.73E+01,2.04,1.80E-01,-1.10E-01,198,,,0.36,0.13,-0.07,11.8,1,q1_q16_tce,4823,154,-124,4.564,0.027,-0.063,0.792,0.073,-0.042,294.0845,38.156319,15.325
6117,4770798,K05087.01,,CANDIDATE,CANDIDATE,,0,0,0,0,koi_period,1.58E-02,-1.58E-02,216.3882,2.24E-02,-2.24E-02,0.0343,0.4067,-0.0341,5.603,0.625,-0.625,1.54E+02,2.62E+01,-2.62E+01,1.55,5.90E-01,-3.50E-01,234,,,0.71,0.81,-0.32,7.1,1,q1_q16_tce,5696,156,-148,4.218,0.207,-0.219,1.261,0.482,-0.28,297.50919,39.88802,12.524
6118,4814168,K05089.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,1.40E-02,-1.40E-02,406.0538,2.36E-02,-2.36E-02,0.4307,0.0801,-0.3938,6.944,0.632,-0.632,1.78E+02,2.05E+01,-2.05E+01,2.01,1.02E+00,-5.10E-01,296,,,1.82,2.72,-0.92,9,1,q1_q16_tce,6432,149,-192,4.145,0.215,-0.267,1.476,0.749,-0.374,283.8624,39.9454,11.577
6120,4819158,K05091.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,2.95E-02,-2.95E-02,385.9456,4.13E-02,-4.13E-02,0.5355,0.5459,-0.313,5.45,1.5,-1.5,9.01E+02,2.08E+02,-2.08E+02,2.23,5.20E-01,-1.70E-01,219,,,0.54,0.4,-0.13,6,1,q1_q16_tce,5382,182,-147,4.603,0.035,-0.129,0.724,0.169,-0.054,286.18781,39.993919,15.876
6124,5949765,K05212.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,2.32E-02,-2.32E-02,464.9081,2.22E-02,-2.22E-02,0.032,0.407,-0.0318,14.139,0.86,-0.86,9.02E+01,1.04E+01,-1.04E+01,1.33,6.40E-01,-3.10E-01,314,,,2.29,3.24,-1.1,9.7,1,q1_q16_tce,6395,164,-188,4.17,0.207,-0.252,1.394,0.665,-0.326,288.37491,41.27457,12.254
6147,4902673,K05097.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,8.24E-02,-8.24E-02,347.1667,4.77E-02,-4.77E-02,0.0651,0.4247,-0.0649,12.11,3.9,-3.9,3.37E+02,1.32E+02,-1.32E+02,1.39,5.70E-01,-1.20E-01,232,,,0.68,0.85,-0.16,6,1,q1_q16_tce,5576,181,-143,4.56,0.051,-0.242,0.758,0.307,-0.064,283.89719,40.071369,14.576
6163,3441795,K04981.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,1.16E-02,-1.16E-02,268.2946,1.92E-02,-1.92E-02,0.0074,0.4518,-0.0073,3.428,0.722,-0.722,8.86E+02,1.69E+02,-1.69E+02,2.32,6.80E-01,-1.70E-01,216,,,0.52,0.47,-0.12,6,1,q1_q16_tce,5310,173,-142,4.582,0.025,-0.188,0.796,0.234,-0.057,290.94846,38.56591,15.466
6169,4937140,K05106.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,5.67E-03,-5.67E-03,225.6177,1.89E-02,-1.89E-02,0.121,0.3223,-0.1209,3.517,0.779,-0.779,3.51E+02,5.98E+01,-5.98E+01,1.89,7.10E-01,-2.80E-01,306,,,2.07,2.37,-0.74,8.7,1,q1_q16_tce,5651,187,-166,4.374,0.127,-0.244,1.02,0.381,-0.151,295.33859,40.00787,14.088
6174,6034834,K05227.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,1.39E-02,-1.39E-02,259.8491,3.16E-02,-3.16E-02,0.2626,0.194,-0.2625,14.736,0.697,-0.697,3.76E+02,3.32E+01,-3.32E+01,1.89,8.20E-01,-3.50E-01,259,,,1.06,1.39,-0.43,16.2,1,q1_q16_tce,5735,172,-138,4.351,0.183,-0.272,0.972,0.422,-0.183,289.34515,41.36478,14.058
6176,6038152,K05229.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,2.71E-02,-2.71E-02,145.6294,7.17E-02,-7.17E-02,0.4524,0.0269,-0.4497,22.93,2.5,-2.5,3.03E+02,2.83E+01,-2.83E+01,2.06,1.13E+00,-2.40E-01,298,,,1.86,3.05,-0.6,13.3,1,q1_q16_tce,6446,162,-226,4.381,0.067,-0.317,1.155,0.632,-0.135,290.39862,41.351559,14.425
6179,6047853,K05232.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,0,koi_period,3.40E-02,-3.40E-02,227.0486,1.98E-02,-1.98E-02,0.2293,0.2089,-0.2291,12.13,1.2,-1.2,2.88E+02,2.87E+01,-2.87E+01,1.82,8.60E-01,-1.90E-01,261,,,1.09,1.53,-0.33,11.1,1,q1_q16_tce,6300,157,-204,4.401,0.071,-0.299,1.064,0.505,-0.114,293.48605,41.320229,13.71
6181,3540873,K04986.01,,CANDIDATE,CANDIDATE,,0,0,0,0,koi_period,2.84E-02,-2.84E-02,334.6734,3.99E-02,-3.99E-02,0.062,0.3936,-0.062,10.9,1.1,-1.1,4.17E+02,6.37E+01,-6.37E+01,1.48,4.70E-01,-8.00E-02,211,,,0.47,0.43,-0.1,7.4,1,q1_q16_tce,5776,167,-149,4.622,0.026,-0.199,0.726,0.228,-0.042,290.3548,38.672531,14.795
6183,3542928,K04988.01,,CANDIDATE,CANDIDATE,,0,0,0,0,koi_period,8.31E-03,-8.31E-03,545.2208,1.03E-02,-1.03E-02,0.3737,0.0926,-0.3734,4.566,0.49,-0.49,5.18E+02,5.56E+01,-5.56E+01,2.38,1.10E+00,-2.30E-01,235,,,0.72,1.01,-0.21,11.3,1,q1_q16_tce,5858,168,-218,4.456,0.049,-0.311,1.04,0.483,-0.101,290.96146,38.673439,13.881
6184,3545749,K04989.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,1,0,koi_period,3.69E-02,-3.69E-02,351.829,1.08E-01,-1.08E-01,0.6035,0.0434,-0.4867,7.07,1.1,-1.1,1.08E+03,1.85E+02,-1.85E+02,2.48,3.50E-01,-2.40E-01,216,,,0.52,0.27,-0.15,9.2,1,q1_q16_tce,4949,191,-155,4.561,0.058,-0.081,0.73,0.104,-0.071,291.7262,38.6866,15.058
6185,3546821,K04990.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,4.66E-02,-4.66E-02,133.5178,5.74E-02,-5.74E-02,0.4298,0.042,-0.4293,14.94,7.3,-7.3,2.29E+02,4.63E+01,-4.63E+01,1.93,1.04E+00,-3.50E-01,255,,,1,1.61,-0.41,9.8,1,q1_q16_tce,6014,148,-177,4.264,0.157,-0.282,1.258,0.675,-0.233,292.00742,38.617329,12.602
6196,6067545,K05236.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,koi_period,1.22E-02,-1.22E-02,307.6878,1.30E-02,-1.30E-02,0.027,0.428,-0.027,14.548,0.486,-0.486,3.47E+02,1.93E+01,-1.93E+01,2.06,3.40E-01,-2.00E-01,238,,,0.76,0.31,-0.18,20.8,1,q1_q17_dr25_tce,5912,71,-82,4.367,0.08,-0.12,1.115,0.181,-0.111,298.39798,41.314892,13.093
6197,6115356,K05237.01,,CANDIDATE,CANDIDATE,,0,0,0,0,koi_period,2.23E-02,-2.23E-02,502.2332,2.22E-02,-2.22E-02,0.1094,0.3546,-0.1091,10.775,0.955,-0.955,6.03E+02,6.85E+01,-6.85E+01,1.84,8.00E-01,-1.20E-01,224,,,0.6,0.79,-0.13,8.6,1,q1_q16_tce,5772,180,-146,4.608,0.027,-0.272,0.745,0.325,-0.047,289.20016,41.430752,15.326
6199,6118840,K05239.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,4.17E-02,-4.17E-02,164.2084,5.89E-02,-5.89E-02,0.0886,0.3642,-0.0885,14.49,1.6,-1.6,6.00E+02,7.32E+01,-7.32E+01,1.97,7.90E-01,-1.70E-01,228,,,0.63,0.79,-0.15,10.8,1,q1_q16_tce,5473,175,-143,4.537,0.043,-0.251,0.816,0.329,-0.071,290.29688,41.483501,15.458
6203,3555178,K04994.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,5.24E-02,-5.24E-02,155.1493,4.82E-02,-4.82E-02,0.2535,0.1815,-0.2533,18.01,1.8,-1.8,8.98E+01,1.21E+01,-1.21E+01,0.77,3.10E-01,-6.00E-02,201,,,0.39,0.47,-0.09,8.4,1,q1_q16_tce,5618,152,-134,4.566,0.031,-0.274,0.811,0.335,-0.063,294.08191,38.630859,12.143
6211,5037742,K05120.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,koi_period,2.28E-02,-2.28E-02,183.25,5.85E-02,-5.85E-02,0.3157,0.1689,-0.3157,12.72,1.6,-1.6,6.75E+02,9.96E+01,-9.96E+01,2.1,6.80E-01,-1.50E-01,246,,,0.86,0.88,-0.19,13.2,1,q1_q16_tce,5377,181,-154,4.581,0.023,-0.221,0.814,0.266,-0.057,298.0976,40.14069,15.433
6212,5039053,K05121.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,koi_period,1.47E-02,-1.47E-02,328.5916,3.48E-02,-3.48E-02,0.666,0.276,-0.456,32.21,1.1,-1.1,1.66E+02,1.03E+01,-1.03E+01,2.04,3.50E-01,-4.30E-01,303,,,1.98,0.88,-0.81,18.6,1,q1_q17_dr25_tce,5858,79,-79,4.12,0.168,-0.098,1.498,0.256,-0.313,298.32886,40.147171,12.616
6214,5091808,K05123.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,1.53E-02,-1.53E-02,193.4457,4.19E-02,-4.19E-02,0.2515,0.1851,-0.251,11.43,1.3,-1.3,1.61E+02,2.42E+01,-2.42E+01,1.05,5.60E-01,-1.30E-01,265,,,1.16,1.9,-0.37,6.7,1,q1_q16_tce,5786,185,-143,4.463,0.122,-0.338,0.827,0.434,-0.108,289.53738,40.21331,14.242
6222,6198670,K05248.01,,CANDIDATE,CANDIDATE,,0,0,0,0,koi_period,2.29E-02,-2.29E-02,154.3773,9.53E-02,-9.53E-02,0.1755,0.2656,-0.1753,22.35,3.2,-3.2,2.72E+02,3.39E+01,-3.39E+01,1.35,6.30E-01,-1.50E-01,301,,,1.94,2.8,-0.55,9.9,1,q1_q16_tce,5692,181,-148,4.496,0.082,-0.291,0.82,0.383,-0.09,289.82709,41.524811,15.142
6227,3755522,K05005.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,koi_period,4.10E-03,-4.10E-03,367.3803,1.12E-02,-1.12E-02,0.005,0.431,-0.005,4.742,0.287,-0.287,2.04E+02,1.51E+01,-1.51E+01,1.4,2.00E-01,-1.10E-01,291,,,1.69,0.64,-0.33,15.3,1,q1_q17_dr25_tce,5870,70,-79,4.449,0.051,-0.119,0.985,0.143,-0.077,293.65378,38.8339,12.289
6233,5166811,K05130.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,2.03E-02,-2.03E-02,311.474,4.52E-02,-4.52E-02,0.0166,0.4255,-0.0166,11.86,1.3,-1.3,6.70E+02,9.04E+01,-9.04E+01,1.9,4.40E-01,-1.50E-01,206,,,0.43,0.31,-0.1,8.6,1,q1_q16_tce,5228,176,-141,4.592,0.031,-0.132,0.751,0.173,-0.058,284.46585,40.314941,15.612
6241,9002278,K00701.04,Kepler-62 f,CONFIRMED,FALSE POSITIVE,0,1,0,0,0,koi_period,4.81E-03,-4.81E-03,589.71975,9.16E-03,-9.16E-03,0.378,0.092,-0.378,7.788,0.374,-0.374,4.72E+02,2.69E+01,-2.69E+01,1.43,8.00E-02,-6.00E-02,207,,,0.44,0.09,-0.07,19.3,4,q1_q17_dr25_tce,4926,98,-98,4.653,0.017,-0.049,0.662,0.041,-0.027,283.21274,45.349861,13.725
6248,3834728,K05009.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,1.21E-02,-1.21E-02,352.5338,2.83E-02,-2.83E-02,0.3719,0.0874,-0.3718,3.866,0.86,-0.86,6.71E+02,1.41E+02,-1.41E+02,1.76,2.90E-01,-1.30E-01,200,,,0.38,0.19,-0.09,5.6,1,q1_q16_tce,5171,154,-138,4.626,0.037,-0.083,0.677,0.11,-0.051,286.23233,38.991749,15.155
6255,5184144,K05135.01,,CANDIDATE,CANDIDATE,,0,0,0,0,koi_period,5.62E-03,-5.62E-03,283.1235,1.80E-02,-1.80E-02,0.158,0.3571,-0.158,3.325,0.75,-0.75,7.32E+02,1.61E+02,-1.61E+02,2,4.60E-01,-1.50E-01,217,,,0.53,0.37,-0.13,7.5,1,q1_q16_tce,5228,176,-142,4.6,0.028,-0.137,0.755,0.171,-0.057,290.93436,40.358158,15.578
6260,6285906,K05257.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,1.68E-03,-1.68E-03,205.5026,1.24E-02,-1.24E-02,0.6637,0.1223,-0.4479,2.656,0.506,-0.506,4.35E+02,8.86E+01,-8.86E+01,1.68,5.90E-01,-1.20E-01,320,,,2.49,2.7,-0.56,6,1,q1_q16_tce,5510,175,-144,4.594,0.03,-0.211,0.762,0.271,-0.055,292.08868,41.602459,15.232
6261,6287131,K05258.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,1.51E-02,-1.51E-02,261.1684,1.46E-02,-1.46E-02,0.6613,0.0239,-0.4899,5.918,0.619,-0.619,8.09E+02,1.35E+02,-1.35E+02,2.29,5.90E-01,-1.60E-01,199,,,0.37,0.29,-0.08,7.7,1,q1_q16_tce,5396,160,-147,4.599,0.026,-0.163,0.766,0.197,-0.054,292.48141,41.634289,15.494
6275,3852865,K05017.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,0,koi_period,1.11E-02,-1.11E-02,520.86,1.80E-02,-1.80E-02,0.226,0.2033,-0.2257,5.077,0.604,-0.604,3.73E+02,4.24E+01,-4.24E+01,1.8,7.40E-01,-1.70E-01,224,,,0.59,0.72,-0.15,11.6,1,q1_q16_tce,5755,153,-152,4.478,0.055,-0.283,0.936,0.383,-0.089,292.13519,38.926491,13.465
6281,5213811,K05141.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,6.88E-03,-6.88E-03,325.0419,1.30E-02,-1.30E-02,0.0503,0.4015,-0.05,5.343,0.473,-0.473,3.78E+02,3.59E+01,-3.59E+01,2.2,1.00E+00,-3.00E-01,312,,,2.25,3,-0.76,11.5,1,q1_q16_tce,6171,148,-180,4.337,0.113,-0.279,1.127,0.515,-0.154,298.20096,40.392319,12.369
6284,5262539,K05144.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,2.56E-02,-2.56E-02,202.7762,4.19E-02,-4.19E-02,0.4169,0.0148,-0.4168,7.42,1.6,-1.6,3.36E+02,7.21E+01,-7.21E+01,1.86,6.60E-01,-2.60E-01,241,,,0.79,0.84,-0.26,7.9,1,q1_q17_dr24_tce,5931,164,-162,4.396,0.107,-0.249,0.997,0.358,-0.138,287.77182,40.448051,14.427
6287,5271637,K05147.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,5.81E-02,-5.81E-02,365.397,1.02E-01,-1.02E-01,0.0666,0.4157,-0.0663,16.91,4.8,-4.8,1.03E+02,2.20E+01,-2.20E+01,1.31,6.50E-01,-2.70E-01,267,,,1.2,1.76,-0.54,12.2,1,q1_q16_tce,5831,156,-178,4.236,0.177,-0.257,1.305,0.64,-0.274,290.74387,40.479488,11.985
6292,6359881,K05268.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,3.07E-02,-3.07E-02,161.0544,5.07E-02,-5.07E-02,0.1936,0.2733,-0.1936,13.05,1.7,-1.7,4.75E+02,7.97E+01,-7.97E+01,2,7.70E-01,-1.50E-01,225,,,0.6,0.68,-0.15,7.2,1,q1_q16_tce,5818,157,-197,4.523,0.028,-0.284,0.925,0.355,-0.069,290.38223,41.757408,15.322
6309,9265521,K05646.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,2.36E-02,-2.36E-02,319.129,2.68E-02,-2.68E-02,0.1616,0.2909,-0.1615,17.72,1.1,-1.1,1.93E+02,1.88E+01,-1.88E+01,1.44,5.70E-01,-1.60E-01,267,,,1.21,1.38,-0.36,12.3,1,q1_q16_tce,6085,144,-176,4.412,0.073,-0.274,1.033,0.411,-0.115,283.8996,45.724232,13.262
6312,9274092,K05649.01,,CANDIDATE,CANDIDATE,,0,0,0,0,koi_period,7.56E-03,-7.56E-03,485.38171,8.19E-03,-8.19E-03,0.2981,0.1556,-0.2981,3.965,0.423,-0.423,1.21E+03,1.52E+02,-1.52E+02,2.32,3.30E-01,-1.80E-01,187,,,0.29,0.14,-0.07,11.8,1,q1_q16_tce,5126,152,-139,4.623,0.042,-0.071,0.669,0.097,-0.052,288.78986,45.727459,15.218
6314,9292100,K05652.01,,CANDIDATE,CANDIDATE,,0,0,0,0,koi_period,1.38E-03,-1.38E-03,184.2723,1.32E-02,-1.32E-02,0.1665,0.2766,-0.1665,5.019,0.326,-0.326,5.39E+02,5.61E+01,-5.61E+01,1.43,5.41E+00,-1.10E-01,302,,,1.97,49.96,-0.48,12.4,1,q1_q16_tce,5040,183,-143,4.635,0.056,-1.207,0.626,2.363,-0.05,296.05667,45.76976,14.969
6315,9300066,K05653.01,,CANDIDATE,CANDIDATE,,0,0,0,0,koi_period,6.66E-03,-6.66E-03,154.3037,1.93E-02,-1.93E-02,0.2033,0.2435,-0.2032,5.179,0.617,-0.617,9.60E+02,1.38E+02,-1.38E+02,2.02,2.60E-01,-1.90E-01,232,,,0.68,0.29,-0.19,9.4,1,q1_q16_tce,4788,152,-134,4.599,0.059,-0.053,0.672,0.084,-0.065,298.3862,45.764229,15.545
6319,10191449,K05775.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,1.38E-02,-1.38E-02,247.5842,1.84E-02,-1.84E-02,0.0198,0.3974,-0.0198,12.53,0.706,-0.706,6.77E+02,6.63E+01,-6.63E+01,2.19,9.10E-01,-1.70E-01,209,,,0.45,0.56,-0.1,13.2,1,q1_q16_tce,5609,159,-149,4.546,0.03,-0.285,0.854,0.352,-0.067,284.0925,47.251381,15.502
6320,10201891,K05777.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,1.78E-02,-1.78E-02,379.1454,1.24E-02,-1.24E-02,0.1243,0.3324,-0.1242,3.874,0.92,-0.92,5.35E+02,9.48E+01,-9.48E+01,2.09,8.20E-01,-1.80E-01,249,,,0.91,1.05,-0.23,14.9,1,q1_q16_tce,5966,154,-175,4.519,0.036,-0.287,0.904,0.356,-0.076,289.41861,47.291889,14.866
6324,7592339,K05401.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,6.28E-03,-6.28E-03,339.4719,1.55E-02,-1.55E-02,0.35,0.1882,-0.35,1.813,0.397,-0.397,1.54E+02,4.11E+01,-4.11E+01,1.09,4.60E-01,-8.00E-02,301,,,1.93,2.41,-0.44,6.1,1,q1_q16_tce,6225,159,-171,4.537,0.032,-0.311,0.861,0.365,-0.061,286.03711,43.20401,13.119
6331,8507586,K05528.01,,CANDIDATE,CANDIDATE,,0,0,0,0,koi_period,7.56E-03,-7.56E-03,261.7721,2.69E-02,-2.69E-02,0.1779,0.3135,-0.1778,3.172,0.669,-0.669,4.80E+02,1.09E+02,-1.09E+02,2.02,8.10E-01,-2.00E-01,309,,,2.14,2.54,-0.6,6.8,1,q1_q16_tce,5919,167,-175,4.483,0.057,-0.28,0.923,0.367,-0.093,296.19122,44.542122,15.169
6333,8510197,K05530.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,1.09E-02,-1.09E-02,333.48076,8.75E-03,-8.75E-03,0.1609,0.2834,-0.1603,4.35,1.4,-1.4,2.45E+02,3.91E+01,-3.91E+01,2.2,9.80E-01,-4.70E-01,289,,,1.65,2.14,-0.76,10.7,1,q1_q16_tce,6609,163,-211,4.183,0.182,-0.248,1.391,0.615,-0.299,296.94693,44.553761,12.913
6340,9334027,K05657.01,,CANDIDATE,CANDIDATE,,0,0,0,0,koi_period,4.64E-03,-4.64E-03,257.6791,1.49E-02,-1.49E-02,0.3145,0.1587,-0.3144,3.709,0.826,-0.826,3.71E+02,8.04E+01,-8.04E+01,2,8.40E-01,-2.10E-01,293,,,1.74,2.14,-0.52,7.6,1,q1_q16_tce,6054,156,-193,4.425,0.065,-0.285,1.028,0.432,-0.109,288.02945,45.800098,14.403
6357,7690782,K05413.01,,CANDIDATE,CANDIDATE,,0,0,0,0,koi_period,9.40E-03,-9.40E-03,522.3881,1.18E-02,-1.18E-02,0.7102,0.0274,-0.5127,4.066,0.465,-0.465,3.87E+02,5.50E+01,-5.50E+01,2,9.60E-01,-3.20E-01,236,,,0.74,1.08,-0.27,7.4,1,q1_q16_tce,5574,172,-138,4.381,0.152,-0.298,0.953,0.454,-0.155,294.51031,43.322319,14.105
6361,8547525,K05538.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,2.66E-02,-2.66E-02,327.5177,2.54E-02,-2.54E-02,0.5739,0.0235,-0.4678,6.67,1.2,-1.2,8.53E+02,2.01E+02,-2.01E+02,2.18,4.20E-01,-1.50E-01,187,,,0.29,0.17,-0.07,5.6,1,q1_q16_tce,5255,160,-140,4.616,0.028,-0.114,0.727,0.139,-0.052,286.28214,44.6651,15.857
6362,8547537,K05539.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,2.39E-02,-2.39E-02,177.0559,2.59E-02,-2.59E-02,0.1026,0.37,-0.1025,22.53,1.7,-1.7,9.61E+02,8.00E+01,-8.00E+01,2.34,5.70E-01,-1.70E-01,209,,,0.45,0.34,-0.1,20.6,1,q1_q16_tce,5302,178,-144,4.595,0.027,-0.151,0.771,0.185,-0.058,286.29144,44.658772,15.583
6363,8548403,K05540.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,1.54E-02,-1.54E-02,204.0423,2.24E-02,-2.24E-02,0.1952,0.2492,-0.1952,9.346,0.753,-0.753,5.85E+02,6.17E+01,-6.17E+01,2.03,6.70E-01,-1.60E-01,192,,,0.32,0.31,-0.07,10.2,1,q1_q16_tce,5649,155,-147,4.553,0.029,-0.236,0.845,0.28,-0.065,286.78064,44.615559,14.984
6364,8548454,K05541.01,,CANDIDATE,CANDIDATE,,0,0,0,0,koi_period,8.84E-03,-8.84E-03,260.9552,1.63E-02,-1.63E-02,0.111,0.313,-0.1109,8.859,0.553,-0.553,5.18E+02,4.96E+01,-4.96E+01,2.04,8.60E-01,-1.70E-01,250,,,0.93,1.16,-0.23,12,1,q1_q16_tce,5823,154,-167,4.522,0.033,-0.302,0.901,0.382,-0.074,286.80566,44.63987,14.699
6373,10356840,K05788.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,0,koi_period,8.73E-03,-8.73E-03,367.222,2.26E-02,-2.26E-02,0.1785,0.2687,-0.1785,6.451,0.739,-0.739,3.62E+02,5.43E+01,-5.43E+01,1.58,5.70E-01,-1.00E-01,283,,,1.51,1.58,-0.33,7.6,1,q1_q16_tce,6068,159,-168,4.568,0.025,-0.253,0.829,0.297,-0.054,297.83392,47.420731,14.96
6374,10387792,K05789.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,1.33E-02,-1.33E-02,216.192,3.66E-02,-3.66E-02,0.1407,0.3331,-0.1406,4.84,1.3,-1.3,4.48E+02,7.35E+01,-7.35E+01,1.57,3.70E-01,-1.50E-01,203,,,0.4,0.29,-0.11,11,1,q1_q16_tce,5074,162,-126,4.536,0.065,-0.615,0.761,0.179,-0.074,283.46307,47.5546,14.06
6376,10399137,K05791.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,6.57E-03,-6.57E-03,393.8276,1.29E-02,-1.29E-02,0.5548,0.0122,-0.4744,2.799,0.51,-0.51,2.83E+02,5.02E+01,-5.02E+01,2.37,1.26E+00,-5.40E-01,311,,,2.2,3.55,-1.05,5.6,1,q1_q16_tce,6205,165,-196,4.194,0.202,-0.27,1.358,0.725,-0.31,289.53293,47.596931,13.927
6378,10419108,K05793.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,5.56E-02,-5.56E-02,251.1107,8.45E-02,-8.45E-02,0.7261,0.213,-0.4791,8.19,1.8,-1.8,2.32E+02,3.12E+01,-3.12E+01,1.22,4.20E-01,-1.20E-01,189,,,0.3,0.32,-0.08,9.7,1,q1_q16_tce,5227,163,-130,4.541,0.071,-0.603,0.744,0.256,-0.074,297.04718,47.51762,12.941
6386,7751133,K05421.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,1,koi_period,1.34E-02,-1.34E-02,261.1884,2.05E-02,-2.05E-02,0.3443,0.1107,-0.3442,17.655,0.788,-0.788,2.70E+02,2.08E+01,-2.08E+01,1.74,6.60E-01,-2.20E-01,266,,,1.18,1.31,-0.38,17.5,1,q1_q16_tce,5892,153,-171,4.386,0.097,-0.256,1.054,0.397,-0.137,291.13617,43.476749,13.648
