planet_id,target_id,kepler_object_Name,planet_name,planet_status,preliminary_status,confidence_score,flag_not_transit_like,flag_stellar_Eclipse,flag_centroid_offset,flag_Ephemeris_match,orbital_period_days,orbital_period_upper_err1,orbital_period_lower_err2,tansit_Epoch_time,transit_time_upper_err1,transit_time_lower_err2,impact_parameter,impact_upper_err1,impact_lower_err2,transit_duration_hours,transit_duration_upper_err1,transit_duration_lower_err2,transit_depth_ppm,transit_depth_upper_err1,transit_depth_lower_err2,planet_size_earths,planet_size_earths_err1,planet_size_earths_err2,planet_temperature_k_elvin,planet_temperature_k_elvin_err1,planet_temperature_k_elvin_err2,insolation_flux_earths,insolation_upper_err1,insolation_lower_err2,signal _to_noise_ratio,TEC_planet_number,tce_delivery_name,star_temperature_kelvi n,star_temperature_kelvi n_err1,star_temperature_kelvi n_err2,star_gravity_logg,star_gravity_upper_err1,star_gravity_lower_err2,star_size_suns,star_size_upper_err1,star_size_lower_err2,sky_right_ascension,sky_declination,kepler_magnitude_brightness
4762,5881307,K07746.01,,CANDIDATE,CANDIDATE,0.708,0,0,0,0,koi_period,1.99E-02,-1.99E-02,388.3294,2.43E-02,-2.43E-02,0.614,0.36,-0.391,13.89,1.1,-1.1,4.82E+02,5.35E+01,-5.35E+01,2.27,6.90E-01,-2.40E-01,263,,,1.14,1.05,-0.37,10.3,1,q1_q17_dr25_tce,6217,197,-241,4.472,0.062,-0.2,0.989,0.299,-0.107,293.38049,41.151901,15.622
4827,5888187,K07749.01,,CANDIDATE,CANDIDATE,0.656,0,0,0,0,koi_period,9.31E-04,-9.31E-04,236.35163,5.19E-03,-5.19E-03,0.438,0.535,-0.232,1.584,0.2,-0.2,4.21E+02,4.90E+01,-4.90E+01,1.89,1.20E-01,-1.90E-01,317,,,2.38,0.48,-0.57,10.8,1,q1_q17_dr25_tce,5202,83,-73,4.434,0.104,-0.048,0.918,0.058,-0.094,295.27301,41.168282,13.623
5063,8424002,K03497.01,Kepler-1512 b,CONFIRMED,CANDIDATE,1,0,0,0,0,koi_period,5.48E-05,-5.48E-05,134.29123,2.18E-03,-2.18E-03,0.925,0.005,-0.693,2.1521,0.0621,-0.0621,3.46E+02,1.52E+01,-1.52E+01,0.8,1.20E-01,-1.60E-01,276,,,1.38,0.58,-0.58,26.8,1,q1_q17_dr25_tce,3419,67,-76,4.904,0.084,-0.052,0.344,0.051,-0.07,289.27451,44.470322,13.393
5389,6952971,K07798.01,,CANDIDATE,CANDIDATE,0.475,0,0,0,0,koi_period,1.63E-02,-1.63E-02,259.0588,4.03E-02,-4.03E-02,0.569,0.001,-0.482,16.4,1.5,-1.5,3.21E+02,3.69E+01,-3.69E+01,2.15,7.30E-01,-2.40E-01,314,,,2.3,2.21,-0.72,10.7,1,q1_q17_dr25_tce,6450,153,-211,4.386,0.065,-0.208,1.155,0.389,-0.13,293.17212,42.483238,14.706
5494,7967861,K02349.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,0,koi_period,3.08E-02,-3.08E-02,171.913,5.02E-02,-5.02E-02,0.2999,0.1486,-0.2998,19.97,2.4,-2.4,2.64E+02,3.49E+01,-3.49E+01,1.36,5.20E-01,-1.10E-01,287,,,1.61,1.84,-0.38,6.7,,,5914,161,-162,4.563,0.03,-0.276,0.828,0.32,-0.063,294.53214,43.75441,15.075
5541,10812504,K02570.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,koi_period,5.41E-04,-5.41E-04,197.21721,5.55E-03,-5.55E-03,0.623,0.046,-0.479,4.482,0.167,-0.167,1.33E+03,6.40E+01,-6.40E+01,1.81,1.50E-01,-1.90E-01,217,,,0.53,0.14,-0.15,21.9,1,q1_q17_dr25_tce,3812,76,-91,4.767,0.06,-0.035,0.476,0.041,-0.05,297.29269,48.11438,15.577
5542,8107115,K02575.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,0,koi_period,1.03E-02,-1.03E-02,172.4242,2.86E-02,-2.86E-02,0.689,0.0222,-0.5332,6.43,1.1,-1.1,3.84E+02,7.73E+01,-7.73E+01,1.64,7.20E-01,-1.20E-01,278,,,1.42,1.88,-0.33,6.5,,,5662,169,-149,4.577,0.031,-0.283,0.789,0.345,-0.059,295.06677,43.98209,15.37
5545,9205938,K02162.02,,CANDIDATE,CANDIDATE,0.92,0,0,0,0,koi_period,3.96E-03,-3.96E-03,131.609,1.71E-02,-1.71E-02,0.046,0.42,-0.046,8.996,0.483,-0.483,2.52E+02,1.97E+01,-1.97E+01,1.45,1.80E-01,-1.80E-01,305,,,2.06,0.76,-0.59,13.9,2,q1_q17_dr25_tce,5678,113,-102,4.409,0.132,-0.088,0.921,0.115,-0.115,285.69199,45.689388,14.033
5581,7882360,K07853.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,koi_period,1.87E-02,-1.87E-02,376.4124,3.32E-02,-3.32E-02,0.475,0.015,-0.454,15.37,1.7,-1.7,5.14E+02,8.92E+01,-8.92E+01,2.2,7.40E-01,-2.40E-01,259,,,1.06,1.08,-0.35,9.3,1,q1_q17_dr25_tce,6039,189,-231,4.493,0.054,-0.216,0.951,0.32,-0.107,288.59802,43.681469,15.508
5597,7538434,K07841.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,koi_period,1.89E-02,-1.89E-02,415.4245,3.41E-02,-3.41E-02,0.228,0.213,-0.228,15.855,0.852,-0.852,5.97E+02,6.14E+01,-6.14E+01,2.07,5.40E-01,-2.00E-01,245,,,0.85,0.66,-0.24,11.5,1,q1_q17_dr25_tce,5988,161,-197,4.541,0.048,-0.18,0.836,0.218,-0.078,294.80182,43.13324,15.342
5660,8142787,K04005.01,Kepler-439 b,CONFIRMED,CANDIDATE,0.997,0,0,0,0,koi_period,1.90E-03,-1.90E-03,210.11802,6.86E-03,-6.86E-03,0.042,0.412,-0.042,9.654,0.283,-0.283,6.79E+02,3.79E+01,-3.79E+01,2.25,2.20E-01,-1.60E-01,291,,,1.7,0.47,-0.31,20.3,1,q1_q17_dr25_tce,5431,81,-81,4.496,0.052,-0.078,0.879,0.086,-0.06,280.80157,44.033989,14.56
5705,7664272,K07845.01,,FALSE POSITIVE,FALSE POSITIVE,0.146,1,0,0,0,koi_period,2.29E-02,-2.29E-02,448.7233,4.83E-02,-4.83E-02,0.087,0.385,-0.087,5.12,4,-4,3.86E+02,9.28E+01,-9.28E+01,1.72,3.00E-01,-2.10E-01,234,,,0.71,0.39,-0.22,6.9,1,q1_q17_dr25_tce,5327,159,-143,4.456,0.112,-0.138,0.896,0.155,-0.113,283.92191,43.37075,14.122
5831,11497958,K01422.05,Kepler-296 e,CONFIRMED,CANDIDATE,0.984,0,0,0,0,koi_period,2.29E-04,-2.29E-04,136.03624,5.59E-03,-5.59E-03,0.105,0.334,-0.105,2.945,0.179,-0.179,7.88E+02,6.31E+01,-6.31E+01,1.06,1.30E-01,-1.60E-01,248,,,0.89,0.33,-0.3,13.3,4,q1_q17_dr25_tce,3526,71,-78,4.866,0.066,-0.044,0.383,0.048,-0.058,286.54001,49.437328,15.921
